BOKENÄS OLD CHURCH,1.1842408040631924,0.35313198274233154,4
"CHURCH OF ST MARGARET OF ANTIOCH, BYGRAVE",0.9077316067953095,-0.00273632720127671,7
"ST. GODEHARD, HILDESHEIM",0.9101069630614341,0.1736634031357167,4
"ST MARY'S CHURCH, CALNE",0.8977467526775753,-0.034955454258942434,4
"KRIŽEVCI, CROATIA",0.8033023326408235,0.28872109151116193,7
"EASTBRIDGE HOSPITAL OF ST THOMAS THE MARTYR, CANTERBURY",0.8950022224288143,0.018820408923030454,6
"ALL SAINTS CHURCH, WEST HAM",0.8994796706993332,1.5029224114395615E-4,4
NUFRINGEN,0.8486178674141317,0.15511613727099602,3
KHEDBRAHMA,0.4193735304333708,1.2748127263407136,3
KILLONE ABBEY,0.9216420554666295,-0.15715536057647897,10
GETO ONSEN,0.6843874753451171,2.458932409401955,2
TALAJA,0.3726277953007894,1.2575097260619144,2
BIJOLIA,0.4391946529718531,1.3146692590647289,2
GOMMATAGIRI,0.21590073658349504,1.3349564234925135,7
PADMAKSHI TEMPLE,0.31412351927056925,1.3887060543758287,4
"DIGAMBARA JAINA TEMPLE, KHANDAGIRI",0.3536376434117288,1.4972500913705802,6
JIRAWALA,0.43064205482339973,1.2652415346482493,4
KHARGONE,0.3808308427851627,1.319795291077836,4
NAGARPARKAR JAIN TEMPLES,0.4250894837336523,1.2348980159749656,6
TARANGA (JAIN TEMPLE),0.4182923959244966,1.2698094491516634,8
MORĄG,0.9410233550336092,0.347902297564203,6
SCHWIEBERDINGEN,0.8530781532803396,0.15838862961848538,4
"GREYFRIARS CHURCH, READING",0.8980900977265371,-0.017043721922141958,10
UHERČICE (ZNOJMO DISTRICT),0.8536987147921598,0.2727998102235248,2
XALAPA,0.34103733583969204,-1.6918009734630257,8
BERTHELSDORF,0.8906027321982176,0.25758150877349645,9
"KOMARNO, UKRAINE",0.866216604038408,0.41369636222757816,5
BRÜEL,0.9375326965296207,0.20449441069200228,6
HOORN,0.9189158511750144,0.08843001543437935,6
NOVO MESTO,0.7993607974134028,0.26470826988580665,7
"ZBOISKA, SANOK COUNTY",0.8641464496200703,0.3858922976159463,4
"WOLICA, SANOK COUNTY",0.8641028163887705,0.3854947503974364,4
GIANNITSA,0.7118034466050207,0.3909537524467298,4
SOLTVADKERT,0.812989549943451,0.33848391914402426,4
BODIAM CASTLE,0.8901580610899038,0.009485864484589181,12
PLOČE,0.7514805982670251,0.30423997744347825,8
WESTMINSTER ABBEY,0.8988348685034574,-0.00222529479629277,22
"ST MARY'S CHURCH, PEMBROKE",0.9019231316521252,-0.08583141410363226,3
MỸ SƠN,0.27518024539777264,1.8869918096145357,12
GODELLA,0.689754120388159,-0.007180090617232228,4
"TORRENT, VALENCIA",0.688338464439319,-0.008125477295395823,4
DOS HERMANAS,0.6507217709220302,-0.10336227681255307,3
SALVATIERRA/AGURAIN,0.74791721771087,-0.041703672849042285,4
GUIYANG,0.4651302456564888,1.8611027590432867,7
TÂRGU NEAMȚ,0.8238390401726233,0.4600445501416498,6
"PLYOS, IVANOVO OBLAST",1.0026916552707423,0.7243116395776468,6
STEINFURT,0.9101455716837431,0.12817988914855022,6
METKOVIĆ,0.7513642429835587,0.30805061297699915,6
"CĂLĂRAȘI, MOLDOVA",0.8246680715673207,0.4939281783143953,4
LUNAVADA,0.4037522518516042,1.2848537994529095,5
ROHOLTE CHURCH,0.9633441769118922,0.21102000283973663,5
"HAKODATE, HOKKAIDO",0.7289658509162982,2.456260033973353,8
LÜBZ,0.9331063476210907,0.20993402019405127,5
"MARLOW, GERMANY",0.9448049017462636,0.21932970933395404,3
PIENZA,0.7518636010751018,0.20383506408569327,7
"BABAYEVO (TOWN), VOLOGDA OBLAST",1.036434687475966,0.6268640896746299,2
UNGHENI,0.8240862951499892,0.48549242026308936,7
"ST. BURCHARD'S ABBEY, WÜRZBURG",0.868997010499571,0.17322198900571276,7
KRAKOW AM SEE,0.9363691436949578,0.2140937215779711,4
HOLT HOTEL (OXFORDSHIRE),0.9062137327299445,-0.023101371904869387,2
TUXTLA GUTIÉRREZ,0.2923911310771611,-1.6251924218153866,7
JUCHITÁN DE ZARAGOZA,0.2868157737444015,-1.6583536776032788,4
FIRGAS,0.4905344825466285,-0.27164110552567305,3
SANTA CRUZ DE LA PALMA,0.5006186071137069,-0.31008683043765917,3
LEOVA,0.8112872139686975,0.49305551368839806,6
SANTO DOMINGO,0.3223041352016195,-1.2208578117700335,8
GUGLIONESI,0.7315838447942897,0.2603449467558208,2
APLIKI,0.6096580521320526,0.5779997187555999,4
DANMARK CHURCH,1.044281881718405,0.30970867576639377,5
"ST MARGARET'S CHURCH, LEICESTER",0.9187465542375711,-0.01983130362578557,8
"ST BARTHOLOMEW'S CHURCH, KNEESALL",0.927996411422196,-0.01654669093626846,3
"ST MARY'S CHURCH, NOTTINGHAM",0.9241712314782419,-0.01994523484084631,7
ST. MARY'S MONASTERY (ZVËRNEC),0.7071201464455026,0.33889445936918783,8
"ST COLANUS' CHURCH, COLAN",0.8798699269258147,-0.0872979754889886,5
ST. NICHOLAS' COLLEGIATE CHURCH,0.9297852381576596,-0.15801617635610982,7
"ST MARY'S CATHEDRAL, TUAM",0.933993556657521,-0.1545489052640979,8
"HOLY TRINITY OLD CHURCH, BOTHENHAMPTON",0.8852940223900683,-0.04789959169362216,4
"ST. MARY'S CHURCH, LÜBECK",0.9401687254765494,0.1864884305755941,7
RØDVEN STAVE CHURCH,1.0929930515142046,0.13079303488973062,5
EL CHAL,0.29030643224839014,-1.5646876744129163,6
DUGA RESA,0.7932036636633117,0.2704533120069546,4
VESBORG,0.9733683261481081,0.18414749026306418,6
KORSHOLM,1.1015209241649213,0.3783485967378819,5
MEHSANA,0.4118977034706618,1.2636183784438946,2
NAGOD,0.4288273972150068,1.4067353771074296,4
DOGE'S PALACE,0.7929711470218517,0.21537362969610024,9
GALATA TOWER,0.7160327672335478,0.5056944124294512,11
ZÜRICH,0.8267042890279808,0.1492256510455152,21
WEGGIS,0.8208865248546663,0.14718943358485512,7
LUCERNE,0.821177413063332,0.14486232791552936,12
PAYERNE,0.817104978142012,0.12100949480494019,4
BIEL/BIENNE,0.8226318541066605,0.1265363707695889,10
ZUG,0.8232136305239921,0.14864387462818374,13
SANTA MARIA DELLA PIEVE,0.7586073593793353,0.20740814091547055,6
"FRANCISCAN FRIARY, BOLZANO",0.8115907558144402,0.19816773759762715,6
"MARKTKIRCHE, HANOVER",0.914058018090297,0.16990780268164796,6
ICOD DE LOS VINOS,0.4948008429403924,-0.291469985083053,3
EL JADIDA,0.5800310880794489,-0.14835298641951802,11
"EL SEIBO, DOMINICAN REPUBLIC",0.32759830059933565,-1.204975315576885,4
"MONTE CRISTI, DOMINICAN REPUBLIC",0.34644785652087445,-1.2505284090539373,4
MUMBAI,0.33117622556592397,1.2710505721753038,11
SANTIAGO DE CUBA,0.3494120073671781,-1.3232024646659375,8
HAVANA,0.40375283362802156,-1.437860415434662,12
BAYAMO,0.35572719037731093,-1.3376688200965652,8
BARACOA,0.35515026209679057,-1.300454521934597,8
"SANTA MARIA DELLA CATENA, PALERMO",0.6653056936703268,0.23334329726779335,6
SAN PABLO HUITZO,0.30152986896607586,-1.690918612563406,5
"CHOLUTECA, CHOLUTECA",0.2321772718833568,-1.5216362195303899,4
NICOYA,0.17715091907742447,-1.4913838458291546,4
"TRUJILLO, HONDURAS",0.2777982392757641,-1.5009831567151233,4
BANJARMASIN,-0.05817764173314432,1.9998564345768357,8
AGNAM-GOLY,0.2793932762866144,-0.2389889041029458,2
PURÉPERO DE ECHAÍZ,0.34732052114687156,-1.7805267252428816,3
VALLE DE BRAVO,0.3349723166890117,-1.7476078762955443,7
GAZI HUSREV-BEG LIBRARY,0.7654946225331775,0.3216350923216884,7
BAKHCHISARAY PALACE,0.7810116661735055,0.5913517784215652,10
PIURA,-0.09075712110370514,-1.4073171535247613,4
OAXACA CITY,0.29788891822094327,-1.6880824525289155,10
CUSCO,-0.23605578133223307,-1.2561522477548077,12
PORTO SEGURO,-0.2868157737444015,-0.6821328493211172,6
BANDRA,0.3325627849368784,1.2713075311833109,3
GUALACEO CANTON,-0.05061454830783556,-1.375028562362866,3
URUAPAN,0.3389574851477321,-1.7813315159535235,4
